,age,job,marital,education,credit_in_default,housing_loan,personal_loan,last_contact_type,last_contact_month,last_contact_day,last_contact_duration,n_contacts_this_campaign,days_since_last_contact,n_contacts_prev_campaign,prev_campaign_outcome,registered,location
0,38.0,student,divorced,unknown,no,no,no,cellular,may,tue,244.0,3,999,0,nonexistent,no,Albufeira
1,34.0,services,married,professional.course,no,no,no,cellular,may,mon,190.0,3,999,0,nonexistent,no,Mealhada
2,43.0,housemaid,unknown,unknown,unknown,yes,yes,cellular,jul,thu,97.0,2,999,0,nonexistent,no,Vila Franca de Xira
3,75.0,retired,married,basic.4y,no,no,no,cellular,oct,wed,113.0,2,999,0,nonexistent,no,Mirandela
4,58.0,retired,married,unknown,no,unknown,unknown,telephone,may,tue,174.0,1,999,0,nonexistent,no,Funchal
5,30.0,admin.,single,university.degree,no,no,no,cellular,may,wed,82.0,2,999,1,failure,no,Ponte de Sor
6,29.0,services,single,high.school,no,yes,no,cellular,nov,wed,178.0,1,999,1,failure,no,Queluz
7,32.0,admin.,divorced,basic.9y,no,yes,no,cellular,jul,mon,118.0,3,999,0,nonexistent,no,Esmoriz
8,32.0,blue-collar,unknown,university.degree,unknown,yes,no,cellular,nov,tue,63.0,1,999,0,nonexistent,no,Chaves
9,24.0,technician,unknown,professional.course,unknown,no,no,telephone,may,mon,149.0,4,999,0,nonexistent,no,Agualva-Cacém
10,45.0,blue-collar,married,basic.4y,no,no,no,telephone,jul,fri,232.0,1,999,0,nonexistent,no,Valongo
11,32.0,technician,single,professional.course,no,no,yes,cellular,jul,tue,232.0,1,999,0,nonexistent,no,Portimão
12,50.0,unknown,married,basic.4y,unknown,no,yes,cellular,may,tue,77.0,4,999,1,failure,no,Peniche
13,33.0,services,divorced,high.school,no,yes,yes,telephone,may,wed,232.0,3,999,0,nonexistent,no,Vila Nova de Famalicão
14,53.0,blue-collar,married,unknown,no,no,no,cellular,aug,mon,115.0,1,999,0,nonexistent,no,Trancoso
15,36.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,156.0,1,999,1,failure,no,Funchal
16,32.0,technician,single,high.school,no,no,no,cellular,aug,mon,111.0,5,999,0,nonexistent,no,Rebordosa
17,28.0,blue-collar,married,basic.9y,no,yes,no,telephone,jun,wed,232.0,1,999,0,nonexistent,no,Trancoso
18,41.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,232.0,2,999,0,nonexistent,no,Almada
19,50.0,blue-collar,divorced,high.school,unknown,no,yes,telephone,may,mon,200.0,2,999,0,nonexistent,no,Loulé
20,51.0,unknown,married,basic.4y,unknown,yes,yes,cellular,jul,mon,297.0,3,999,0,nonexistent,no,Esposende
21,51.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,232.0,1,999,0,nonexistent,no,Almada
22,29.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,14.0,4,999,0,nonexistent,no,Almada
23,28.0,admin.,unknown,university.degree,no,yes,no,telephone,jul,mon,160.0,10,999,0,nonexistent,no,Macedo de Cavaleiros
24,34.0,admin.,single,university.degree,no,no,yes,telephone,may,wed,232.0,4,999,0,nonexistent,no,Queluz
25,34.0,blue-collar,married,unknown,no,yes,no,cellular,may,tue,232.0,1,999,1,failure,no,Gondomar
26,44.0,technician,divorced,professional.course,no,no,yes,telephone,jul,mon,107.0,3,999,0,nonexistent,no,Setúbal
